Quarter,Barangay,Local_Base_Budget_PHP,Local_IEC_PHP,Local_IEC_%,Local_Enf_PHP,Local_Enf_%,Local_Inc_PHP,Local_Inc_%,Local_Tanods_Active,Local_Compliance
11,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.07%
11,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,94.67%
11,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
11,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
11,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,90.06%
12,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
12,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
12,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.13%
12,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,93.10%
12,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
12,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
12,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,84.21%
13,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
13,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
13,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.07%
13,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,95.07%
13,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
13,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
13,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,88.30%
